"","Site","Date","Location.x","Ca","Cr","Cu","Fe","Mg","Mn","Na","Ni","Pb","V","Zn","date","year","ID","ID4RanEf","Location.y","StreetName","Zone","RoadType","RoadSurface","LandCoverCode","PercTree","PercPaved","LandCoverName","LandCoverCategory","LandCoverDefinition","LandUse","LandOwnership","LandUseIntensity","LandUseCat","good","bad","good2bad"
"11","DNR1069","8/18/2011","50",7514.35307,0.5464636675,1.914427548,2808.823551,1461.273306,28.95190217,402.8446308,1.504576604,0.417723603,4.655812396,10.8153905,2011-08-18,"2011","DNR1069_50","DNR1069_50_2011",50,"WOODS DR","KALIFORNSKY","Town Medium Volume","Paved",95,38,0,"Emergent Herbaceous Wetlands ","Wetland"," Areas where perennial herbaceous vegetation accounts for greater than 80 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","100 Residential Vacant","State","1","Residential Institutional",-0.111650649186916,-1.93584316240164,1.82419251321472
"12","DNR1102","7/11/2012","5",5568.025378,27.85093504,12.93234212,15921.40467,5301.02339,301.6361579,466.5105404,15.9806833,25.73233632,39.590966,63.53816318,2012-07-11,"2012","DNR1102_5","DNR1102_5_2012",5,"STERLING HWY","COHOE","State Highway","Paved",22,33,25," Developed, Low Intensity ","Developed","Includes areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20 to 49 percent of total cover. These areas most commonly include single family housing units.  ","500 Road Right of Way","StateDOT","3","RoadROW",0.277567158405958,0.515552719629955,-0.237985561223997
"13","DNR1102","7/11/2012","50",5952.319387,38.84558062,33.71845329,20179.68566,7080.584925,312.962544,269.8462736,27.12414121,6.831749621,48.0225483,59.80068452,2012-07-11,"2012","DNR1102_50","DNR1102_50_2012",50,"KASILOF RIVER RD","COHOE","Town Medium Volume","Gravel",41,60,0," Deciduous Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species shed foliage simultaneously in response to seasonal change.  ","100 Residential Vacant","State","1","Residential Institutional",0.47035167569753,0.592861064352286,-0.122509388654756
"14","DNR1102","8/11/2011","5",5318.823768,27.1832407,12.49575533,14658.27767,5392.994672,265.9633862,491.041582,14.86323659,31.46933076,37.32642909,50.33763905,2011-08-11,"2011","DNR1102_5","DNR1102_5_2011",5,"STERLING HWY","COHOE","State Highway","Paved",22,33,25," Developed, Low Intensity ","Developed","Includes areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20 to 49 percent of total cover. These areas most commonly include single family housing units.  ","500 Road Right of Way","StateDOT","3","RoadROW",0.249928155594588,0.461370072839074,-0.211441917244487
"15","DNR1102","8/11/2011","50",6485.10929,37.03327895,26.76443542,19294.73311,7565.653646,286.9343918,137.95945475,24.63396885,6.980836587,47.8199515,54.70900905,2011-08-11,"2011","DNR1102_50","DNR1102_50_2011",50,"KASILOF RIVER RD","COHOE","Town Medium Volume","Gravel",41,60,0," Deciduous Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species shed foliage simultaneously in response to seasonal change.  ","100 Residential Vacant","State","1","Residential Institutional",0.569840532273333,0.441569202343429,0.128271329929904
"16","KEN1043","7/11/2012","5",4374.995992,16.51501004,10.35252551,15046.60404,3450.852087,184.4293105,409.67466,9.749674332,14.77300058,32.36850077,34.25076909,2012-07-11,"2012","KEN1043_5","KEN1043_5_2012",5,"CROOKED CREEK RD","COHOE","Town Major Collector","Paved",22,13,29," Developed, Low Intensity ","Developed","Includes areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20 to 49 percent of total cover. These areas most commonly include single family housing units.  ","100 Residential Vacant","Private","1","Residential Institutional",-0.120042649767879,0.122777997585898,-0.242820647353777
"17","KEN1043","7/11/2012","50",4353.099768,5.914463418,12.24986791,10192.39681,820.3438308,101.198338,758.2276396,3.594104971,1.794421817,26.27963392,24.19352159,2012-07-11,"2012","KEN1043_50","KEN1043_50_2012",50,"CROOKED CREEK RD","COHOE","Town Major Collector","Paved",90,11,0,"Woody Wetlands ","Wetland"," Areas where forest or shrub land vegetation accounts for greater than 20 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","100 Residential Vacant","Private","1","Residential Institutional",-0.820542180582955,-0.427393160490661,-0.393149020092294
"18","KEN1043","8/22/2011","5",8233.735342,33.07919615,19.2029578,29807.91713,7452.34411,333.46255,198.1527479,21.60292411,8.06267734,57.02846495,84.87809422,2011-08-22,"2011","KEN1043_5","KEN1043_5_2011",5,"CROOKED CREEK RD","COHOE","Town Major Collector","Paved",22,13,29," Developed, Low Intensity ","Developed","Includes areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 20 to 49 percent of total cover. These areas most commonly include single family housing units.  ","100 Residential Vacant","Private","1","Residential Institutional",0.750110598944066,0.586908251706018,0.163202347238048
"19","KEN1043","8/22/2011","50",5351.789193,6.684238638,14.16840972,20395.16524,1102.012203,164.3439052,557.8189147,4.902313308,1.993985988,39.52413158,41.95244584,2011-08-22,"2011","KEN1043_50","KEN1043_50_2011",50,"CROOKED CREEK RD","COHOE","Town Major Collector","Paved",90,11,0,"Woody Wetlands ","Wetland"," Areas where forest or shrub land vegetation accounts for greater than 20 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","100 Residential Vacant","Private","1","Residential Institutional",-0.515136104011121,-0.100742361392267,-0.414393742618854
"20","KEN1090","7/18/2012","5",5715.556546,19.89478358,4.976583305,12343.77528,4119.564062,260.3284082,914.9375111,13.93505882,12.52021748,39.42106396,52.29457886,2012-07-18,"2012","KEN1090_5","KEN1090_5_2012",5,"KENAI SPUR HWY","NIKISKI","State Highway","Paved",43,48,0," Mixed Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75 percent of total tree cover.  ","500 Road Right of Way","StateDOT","3","RoadROW",0.175860407685627,0.249907029838169,-0.0740466221525419
"21","KEN1090","7/18/2012","50",4748.3850225,19.733281875,5.381041673,12915.39539,4610.9966085,241.88962085,530.4053592,17.74111791,3.246410991,39.5806559,45.776213375,2012-07-18,"2012","KEN1090_50","KEN1090_50_2012",50,"KENAI SPUR HWY","NIKISKI","State Highway","Paved",21,46,14," Developed, Open Space ","Developed"," Includes areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20 percent of total cover. These areas most commonly include large lot single family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes  ","100 Residential Vacant","Private","1","Residential Institutional",0.0848304250036028,0.0594845904335531,0.0253458345700497
"22","KEN1090","8/10/2011","5",3839.796117,17.08112442,12.35550275,11085.59219,3812.208609,261.1714787,509.0954823,13.1931545,9.34719695,32.89737567,32.02878259,2011-08-10,"2011","KEN1090_5","KEN1090_5_2011",5,"KENAI SPUR HWY","NIKISKI","State Highway","Paved",43,48,0," Mixed Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75 percent of total tree cover.  ","500 Road Right of Way","StateDOT","3","RoadROW",-0.174289472543627,0.152729903840001,-0.327019376383628
"23","KEN1090","8/10/2011","50",4235.307149,15.78448861,9.311370137,11204.71663,3650.397445,186.4770922,317.7006365,13.23324148,2.944137462,32.38923704,27.41020953,2011-08-10,"2011","KEN1090_50","KEN1090_50_2011",50,"KENAI SPUR HWY","NIKISKI","State Highway","Paved",21,46,14," Developed, Open Space ","Developed"," Includes areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20 percent of total cover. These areas most commonly include large lot single family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes  ","100 Residential Vacant","Private","1","Residential Institutional",-0.118284900820726,-0.135065117921209,0.0167802171004831
"24","KNA01","7/17/2012","5",6006.097627,30.44055105,8.785246904,17075.48875,6480.922565,419.8586883,401.3837364,24.76637879,4.487871628,42.11414208,66.61935613,2012-07-17,"2012","KNA01_5","KNA01_5_2012",5,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",23,16,56,"Developed, Medium Intensity ","Developed"," Includes areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 50 79 percent of the total cover. These areas most commonly include single family housing units.  ","750 General Industrial","Federal","2","Industrial",0.434513162591021,0.379807196932567,0.054705965658454
"25","KNA01","7/17/2012","50",11166.5941,2.4754333,7.761834998,4783.314427,1650.099083,127.5361884,165.3428156,4.266878376,0.3039343985,5.608735228,19.08022903,2012-07-17,"2012","KNA01_50","KNA01_50_2012",50,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",90,23,0,"Woody Wetlands ","Wetland"," Areas where forest or shrub land vegetation accounts for greater than 20 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","750 General Industrial","Federal","2","Industrial",0.258522025554935,-1.23951428548253,1.49803631103747
"26","KNA01","8/23/2011","5",5216.328224,29.60533318,6.622261411,17516.11715,6288.124016,394.2197834,319.4295027,26.09567897,3.427232105,39.95273439,48.84930905,2011-08-23,"2011","KNA01_5","KNA01_5_2011",5,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",23,16,56,"Developed, Medium Intensity ","Developed"," Includes areas with a mixture of constructed materials and vegetation. Impervious surfaces account for 50 79 percent of the total cover. These areas most commonly include single family housing units.  ","750 General Industrial","Federal","2","Industrial",0.309092474612598,0.23489349406892,0.0741989805436779
"27","KNA01","8/23/2011","50",19443.12972,3.018969932,7.690637314,10090.41135,3706.073964,177.3061537,198.1527479,6.969581561,1.74538599,9.165871715,41.43819945,2011-08-23,"2011","KNA01_50","KNA01_50_2011",50,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",90,23,0,"Woody Wetlands ","Wetland"," Areas where forest or shrub land vegetation accounts for greater than 20 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","750 General Industrial","Federal","2","Industrial",1.08658937568055,-0.648608343670144,1.73519771935069
"28","KNA02","7/17/2012","5",4526.624888,24.0406322,5.682477925,14302.73106,5119.977051,299.6458189,248.4173218,21.58914217,5.687782451,37.34554725,56.48477964,2012-07-17,"2012","KNA02_5","KNA02_5_2012",5,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",90,35,0,"Woody Wetlands ","Wetland"," Areas where forest or shrub land vegetation accounts for greater than 20 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","750 General Industrial","Federal","2","Industrial",0.0980152766710948,0.144375610972584,-0.0463603343014895
"29","KNA02","7/17/2012","50",5299.416816,18.85707223,12.82390558,17960.95798,2499.882448,193.7471984,740.3010716,10.14289924,5.416088754,33.55819046,32.24567303,2012-07-17,"2012","KNA02_50","KNA02_50_2012",50,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",90,25,0,"Woody Wetlands ","Wetland"," Areas where forest or shrub land vegetation accounts for greater than 20 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","750 General Industrial","Federal","2","Industrial",-0.125722287916305,0.159720660120977,-0.285442948037282
"30","KNA02","8/17/2011","5",2855.921148,18.05227882,9.375442948,10623.81123,3695.764631,208.2091397,137.95945475,14.39810857,4.92179833,25.73397246,34.1958136,2011-08-17,"2011","KNA02_5","KNA02_5_2011",5,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",90,35,0,"Woody Wetlands ","Wetland"," Areas where forest or shrub land vegetation accounts for greater than 20 percent of vegetative cover and the soil or substrate is persistently saturated with or covered with water.  ","750 General Industrial","Federal","2","Industrial",-0.421935882223845,-0.144318203213534,-0.277617679010311
"31","KNA03","7/17/2012","5",5427.095538,24.55070564,18.39458137,13578.53277,3390.260154,352.4983306,565.2727862,17.19794422,10.24693187,39.4055315,32.76419075,2012-07-17,"2012","KNA03_5","KNA03_5_2012",5,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",41,53,0," Deciduous Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species shed foliage simultaneously in response to seasonal change.  ","750 General Industrial","Federal","2","Industrial",0.0406996149814119,0.389791302231386,-0.349091687249974
"32","KNA03","7/17/2012","50",2570.372143,4.513108144,8.873678158,3334.089432,519.1134398,18.44115174,257.1337994,3.355578563,2.156243021,9.117335695,13.58570738,2012-07-17,"2012","KNA03_50","KNA03_50_2012",50,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",52,52,0," Shrub/Scrub ","Shrub"," Areas dominated by shrubs less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation. This class includes true shrubs, young trees in an early successional stage or trees stunted from environmental conditions.  ","750 General Industrial","Federal","2","Industrial",-1.45637904300252,-1.19598543025644,-0.26039361274608
"33","KNA03","8/17/2011","5",3590.5790385,19.471426445,13.97050395,14887.01729,4616.062437,353.3487108,226.275692925,15.404169385,6.733723132,31.66477246,34.907061265,2011-08-17,"2011","KNA03_5","KNA03_5_2011",5,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",41,53,0," Deciduous Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species shed foliage simultaneously in response to seasonal change.  ","750 General Industrial","Federal","2","Industrial",-0.134251407890072,0.158965018519211,-0.293216426409283
"34","KNA03","8/17/2011","50",2130.823569,3.685012664,5.748028275,2936.178722,445.2400012,11.254920035,137.95945475,2.7071903885,1.7098183245,7.789073775,10.788832765,2011-08-17,"2011","KNA03_50","KNA03_50_2011",50,"SWANSON OIL FIELDS","SWANSON RIVER","Oil Field","Gravel",52,52,0," Shrub/Scrub ","Shrub"," Areas dominated by shrubs less than 5 meters tall with shrub canopy typically greater than 20% of total vegetation. This class includes true shrubs, young trees in an early successional stage or trees stunted from environmental conditions.  ","750 General Industrial","Federal","2","Industrial",-1.67817140270327,-1.52775128900365,-0.15042011369962
"35","KNA08","7/12/2012","5",4892.115256,24.69705223,4.518157082,14122.98083,5601.973451,343.6788031,119.20556885,19.41788499,4.344008832,27.3285447,64.36420138,2012-07-12,"2012","KNA08_5","KNA08_5_2012",5,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",21,52,6," Developed, Open Space ","Developed"," Includes areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20 percent of total cover. These areas most commonly include large lot single family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes  ","100 Residential Vacant","Federal","1","Residential Institutional",0.202649667620352,-0.0151479252645229,0.217797592884875
"36","KNA08","7/12/2012","50",4105.035815,3.926258804,7.283290037,2527.755245,1218.674888,87.26417047,316.0475298,3.376577183,2.054934803,7.826703072,23.82605231,2012-07-12,"2012","KNA08_50","KNA08_50_2012",50,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",43,67,0," Mixed Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75 percent of total tree cover.  ","100 Residential Vacant","Federal","1","Residential Institutional",-0.674745443054824,-1.00828441612409,0.333538973069264
"37","KNA08","8/17/2010","0",2880.613334,10.3108369,6.415185255,7155.763526,2355.758394,158.7917941,35.277864835,9.173686133,3.552776675,16.21700673,27.87557313,2010-08-17,"2010","KNA08_0","KNA08_0_2010",0,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",21,48,8," Developed, Open Space ","Developed"," Includes areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20 percent of total cover. These areas most commonly include large lot single family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes  ","100 Residential Vacant","Federal","1","Residential Institutional",-0.633510052393431,-0.671966708187196,0.0384566557937656
"38","KNA08","8/17/2010","10",10835.57574,74.70617747,46.19390106,46887.47829,15370.59977,1222.636484,811.7370743,66.9765189,10.75197851,110.3479704,128.0139031,2010-08-17,"2010","KNA08_10","KNA08_10_2010",10,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",21,52,6," Developed, Open Space ","Developed"," Includes areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20 percent of total cover. These areas most commonly include large lot single family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes  ","100 Residential Vacant","Federal","1","Residential Institutional",1.31687201455096,1.47429706163793,-0.15742504708697
"39","KNA08","8/17/2010","20",6312.529449,28.24058495,14.52532582,18264.7853,5757.695166,357.2795958,377.2498977,21.03242783,7.489520589,43.03148957,51.16014529,2010-08-17,"2010","KNA08_20","KNA08_20_2010",20,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",21,52,6," Developed, Open Space ","Developed"," Includes areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20 percent of total cover. These areas most commonly include large lot single family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes  ","100 Residential Vacant","Federal","1","Residential Institutional",0.416243945875141,0.428488066543513,-0.0122441206683718
"40","KNA08","8/17/2010","40",4966.881677,23.49602663,16.35025754,13559.38813,4289.346673,172.0155651,529.3154184,17.89130286,9.366774201,39.89414582,52.91063182,2010-08-17,"2010","KNA08_40","KNA08_40_2010",40,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",43,67,0," Mixed Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75 percent of total tree cover.  ","100 Residential Vacant","Federal","1","Residential Institutional",0.0851210345050472,0.332253766231149,-0.247132731726102
"41","KNA08","8/17/2010","5",6426.167587,23.94498077,12.94482548,17780.54339,5616.212944,317.6491237,247.4003452,18.28948282,7.402216385,39.63560151,41.96275691,2010-08-17,"2010","KNA08_5","KNA08_5_2010",5,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",21,52,6," Developed, Open Space ","Developed"," Includes areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20 percent of total cover. These areas most commonly include large lot single family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes  ","100 Residential Vacant","Federal","1","Residential Institutional",0.418200629991351,0.274522022847783,0.143678607143568
"42","KNA08","8/17/2010","80",5517.181678,3.067019576,6.39656687,5074.787596,1084.304117,74.33327087,427.8138605,4.278070273,9.715560021,10.15249586,17.49112547,2010-08-17,"2010","KNA08_80","KNA08_80_2010",80,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",43,66,0," Mixed Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75 percent of total tree cover.  ","100 Residential Vacant","Federal","1","Residential Institutional",-0.499074607557111,-0.761354041765169,0.262279434208057
"43","KNA08","8/18/2011","5",6718.447619,23.5205456,12.47172118,13937.76278,5384.810811,257.9468398,137.95945475,17.12129215,4.85475032,37.83113534,35.60679684,2011-08-18,"2011","KNA08_5","KNA08_5_2011",5,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",21,52,6," Developed, Open Space ","Developed"," Includes areas with a mixture of some constructed materials, but mostly vegetation in the form of lawn grasses. Impervious surfaces account for less than 20 percent of total cover. These areas most commonly include large lot single family housing units, parks, golf courses, and vegetation planted in developed settings for recreation, erosion control, or aesthetic purposes  ","100 Residential Vacant","Federal","1","Residential Institutional",0.432750342831527,0.0612148873954327,0.371535455436094
"44","KNA08","8/18/2011","50",4121.779419,2.488915983,3.331467493,1823.811197,1078.372504,74.53862281,137.95945475,2.455757759,1.469103468,6.960379618,17.53734884,2011-08-18,"2011","KNA08_50","KNA08_50_2011",50,"SWANSON RIVER RD","REMOTE","Refuge Road","Gravel",43,67,0," Mixed Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. Neither deciduous nor evergreen species are greater than 75 percent of total tree cover.  ","100 Residential Vacant","Federal","1","Residential Institutional",-0.730849194882733,-1.45286150386961,0.722012308986878
"45","KNA1009","7/19/2012","5",8684.511356,22.86432897,4.763360179,12479.46061,4286.205984,422.9588365,1258.957738,14.46638995,16.16769741,42.09286321,58.01524554,2012-07-19,"2012","KNA1009_5","KNA1009_5_2012",5,"KENAI SPUR HWY","NIKISKI","State Highway","Paved",41,58,0," Deciduous Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species shed foliage simultaneously in response to seasonal change.  ","100 Residential Vacant","State","1","Residential Institutional",0.523811046392548,0.411084177530549,0.112726868861999
"46","KNA1009","7/19/2012","50",6172.442617,13.80682255,10.54283918,7954.891775,1617.570821,141.8593858,1648.592705,5.800196804,4.389971198,35.88539034,22.69513819,2012-07-19,"2012","KNA1009_50","KNA1009_50_2012",50,"KENAI SPUR HWY","NIKISKI","State Highway","Paved",41,58,0," Deciduous Forest ","Forest"," Areas dominated by trees generally greater than 5 meters tall, and greater than 20% of total vegetation cover. More than 75 percent of the tree species shed foliage simultaneously in response to seasonal change.  ","100 Residential Vacant","State","1","Residential Institutional",-0.216957619914777,-0.0824789769360637,-0.134478642978713
